url,shortcode,media_id,taken_at,datetime_utc,media_type,product_type,location_name,like_count,comment_count,view_count,caption,hashtags,mentions,scraped_comments_count,parse_status
https://www.instagram.com/higo_houses/p/DZvNxBzCLhf/,DZvNxBzCLhf,3922414344251947103,1781808249,2026-06-18T18:44:09+00:00,8,carousel_container,Somewhere in Paradise,25,4,,"HIGO HOUSES 
Mallorca🇪🇸 & Tuscany🇮🇹

Each venue, Finca Higo in Mallorca or Castello Higo in Tuscany, has its own unique feeling and spirit. Both combine a place for practice, nature, and simply a place to reconnect with all your senses.

From practice right at the beach in Mallorca to stunning views over the Tuscan countryside, we'd be happy if you'd call Higo Houses your home.

Arrive one way. 
Leave another.

📸
@karin.purker 

#retreat #retreatlife #mallorca #tuscany #pilates",retreat;retreatlife;mallorca;tuscany;pilates,karin.purker,4,ok
https://www.instagram.com/higo_houses/p/DYRSS4aCD-Q/,DYRSS4aCD-Q,3895975615006261136,1778656533,2026-05-13T07:15:33+00:00,8,carousel_container,,31,1,,"📍 Castello Higo - Tuscany, Italy 🇮🇹

Our Castello is nestled in the heart of Tuscany, just a 15-minute drive from Siena.

Each room tells a story of centuries past. Original 17th-century frescoes, antique furniture, and Italian works of art blend seamlessly with the peaceful countryside surrounding Siena.

Once a Tuscan wedding venue, this stunning Castello is now slowly being transformed into a place to reconnect, feel grounded, and immerse yourself in the art and history carried within its walls.

Our retreat centre can host up to 20 guests across 11 rooms and 9 bathrooms, with nearly every room offering access to an ensuite bathroom. On the ground floor, you’ll find our antique fresco-covered studio. With its curved walls and wooden floors, it creates a warm and grounding atmosphere for yoga, movement, and retreat sessions.

Castello Higo is a place to pause in awe, to experience the art, culture, and history that define it. From the historic interiors to the French garden and the pool overlooking Siena, every corner invites you to slow down and take it all in.

#italy #retreat #tuscany #pilatesretreat",italy;retreat;tuscany;pilatesretreat,,1,ok
https://www.instagram.com/higo_houses/reel/DLSnQo2ISGM/,DLSnQo2ISGM,3662162114189009292,1750783783,2025-06-24T16:49:43+00:00,2,clips,"Mallorca, Islas Baleares, Spain",3,0,,"The colours that paint our life 🌿💭
•
#yoga #retreat #nature #mallorca #love #islandlife #island #yogaretreat #mindfulness #beach #yogaretreat #yogaretreatspain #yogaretreatlocation #dream",yoga;retreat;nature;mallorca;love;islandlife;island;yogaretreat;mindfulness;beach;yogaretreat;yogaretreatspain;yogaretreatlocation;dream,,0,ok
https://www.instagram.com/namasyoga1976/p/DZc-sYcjRRD/,DZc-sYcjRRD,3917281504694965315,1781196366,2026-06-11T16:46:06+00:00,8,carousel_container,"Tuscany, Italy",47,13,,"🇮🇹✨ Tuscany Yoga Retreat | 20–25 September 2027 ✨🇮🇹

I am so excited to finally share a project that I have been quietly working on behind the scenes...

In September 2027, I am planning a very special 'Italian Cultural Yoga Retreat in Tuscany'.

Nestled amongst rolling vineyards, ancient olive groves, and the breathtaking Tuscan countryside near Siena, our retreat home will be a beautiful historic villa full of charm, character, and authentic Italian spirit.

Imagine waking up to panoramic views across the Tuscan landscape, beginning your day with yoga, enjoying delicious local cuisine, exploring centuries of history and culture, sharing long outdoor meals beneath the Italian sky, and embracing the slower pace of life that makes this region so magical.

This retreat will be about so much more than yoga.

✨ Daily yoga practices
✨ Beautiful Tuscan food
✨ A traditional Italian cooking experience
✨ Time to rest, recharge, and reconnect
✨ Exploring local culture and history
✨ Meaningful connection and community
✨ Space to slow down and savour life

My vision is to create a warm, welcoming, and supportive experience where we can practise together, explore together, share wonderful food, make lasting memories, and immerse ourselves in the beauty of Tuscany.

📍 Tuscany, Italy
📅 20–25 September 2027
🏡 Historic villa near Siena

If this sounds like something you would love to be part of, or if you would like more information, please email: info@namasyoga.co.uk or send me a DM.

I would love to hear from you and share more details as plans unfold.

Places will be limited to maintain an intimate and community-centred experience.

I truly cannot wait to share this experience with you.

With love,

Mas x ❤️

#TuscanyYogaRetreat2027 #Italy2027 #RetreatLife #YogaTravel #ItalianEscape",TuscanyYogaRetreat2027;Italy2027;RetreatLife;YogaTravel;ItalianEscape,namasyoga.co.uk,1,ok
https://www.instagram.com/studiomond.space/reel/DYeY6rrID5T/,DYeY6rrID5T,3899663913089777235,1779096577,2026-05-18T09:29:37+00:00,2,clips,"Mallorca, Spain",178,11,,No trending audio needed for this one 🐚🏝️,,,9,ok
https://www.instagram.com/higo_houses/reel/DYZqXzHIqxt/,DYZqXzHIqxt,3898333305847852141,1778937582,2026-05-16T13:19:42+00:00,2,clips,"Tuscany, Italy",17,1,,"📍 Castello Higo - Tuscany, Italia
Art, elegance, and history, our little castle in the heart of Tuscany is the perfect spot for retreats that want to lean back and enjoy the beauty of Italy😋😍

Open spots for fall 2026.

#yogaretreat #yoga #tuscanyretreat #castellohigo #artstudio",yogaretreat;yoga;tuscanyretreat;castellohigo;artstudio,,1,ok
https://www.instagram.com/talesofher_retreats/reel/DX7GOoNI-c1/,DX7GOoNI-c1,3889730096686425909,1777912361,2026-05-04T16:32:41+00:00,2,clips,"Mallorca, Spain",34,9,,"Wild Woman was everything and more 🍋

This magical finca @higo_houses in a cove surrounded by mountains and water held us in safety and made us go very deep within.

I am so grateful for the beautiful retreat I got to co-create with all the beautiful women who participated. 

And a special thanks goes to @anotherhealingrealm for taking care of all the important details and to @darceysupelli for capturing on videos and photos (still to come!)

I still have to process before I’ll be able to share more words about it. But for now ❤️ is full.

#mallorcaretreat #womensretreat #wombwisdom #talesofherretreats",mallorcaretreat;womensretreat;wombwisdom;talesofherretreats,higo_houses;anotherhealingrealm;darceysupelli,5,ok
https://www.instagram.com/higo_houses/p/DXmVvmKCLKv/,DXmVvmKCLKv,3883887358416302767,1777215474,2026-04-26T14:57:54+00:00,8,carousel_container,"Mallorca, Spain",32,0,,"📍Finca Higo🇪🇸
After many hours and multiple IKEA visits, we are happy to open our new studio for the upcoming session.

The new studio offers a space for creativity and shelter in bad weather.

The next improvement will be a new outdoor wooden deck overlooking the sea and mountains. More information will follow ☺️🙏",,,0,ok
https://www.instagram.com/higo_houses/reel/DXL9m83iChb/,DXL9m83iChb,3876462861815916635,1776330423,2026-04-16T09:07:03+00:00,2,clips,"Tuscany, Italy",32,5,,"Castello Higo - Tuscany, Italy🫒🇮🇹

Located in the heart of Tuscany, just 15 minutes from Siena, is our new portfolio villa, Castello Higo. 

Elegant, historic, and aesthetic, our new retreat center, with its frescoes, culture, and rich history, can welcome up to 20 people in 11 rooms. Hidden among olive groves and overlooking Siena.

We will be welcoming our first groups this summer, and spots for September and October are now open too. Looking forward to sharing further updates. 

Finally, this region of Italy is just such a beauty!
#retreat #tuscany #tuscanyretreat #siena #yogalife",retreat;tuscany;tuscanyretreat;siena;yogalife,,3,ok
https://www.instagram.com/higo_houses/p/DXLrwcwiJh3/,DXLrwcwiJh3,3876384349696333943,1776321038,2026-04-16T06:30:38+00:00,8,carousel_container,"Tuscany, Italy",58,5,,"Your Villa, Your Castle, Your Castello!✨
We are excited to introduce Castello Higo – Tuscany, Italy🫒🇮🇹

After months of searching for our second property to create more variety and availability, we are thrilled to introduce our newest addition in the heart of Tuscany, Italy. Just a 15-minute drive from Siena, this villa, with its history, elegance, frescoes, and sheer beauty, has captured our hearts.

Featuring 11 rooms and a stunning studio in the heart of the villa😍

We’re already excited for the first groups.
Exciting times!✨✨🙏

#italy #pilates
#retreat #tuscany",italy;pilates;retreat;tuscany,,3,ok
